Period,Total,,USA,,,,Overseas,,,,,Total,,USA,,,,Overseas,,,,,Period,Food Services and Drinking Places1 Receipts ,,,,,,,,Food Services and Drinking Places1 Receipts ,,,,,,,,Period,"Air Passenger Traffic 1,2",,,,,,,Other Transportation,,,Air Passenger Traffic ,,,,,,,Other Transportation ,,,Period,Employment in key tourism industries1 (000s),,,,,Hotel Industry2,,,,Consumer Price Index1,,,Employment in key tourism industries1 ,,,,,Hotel Industry2,,,,Consumer Price Index1,
,,,Total,Same-day,Overnight,,Total,Asia,Europe,Other†,,,,Total,Same-day,Overnight,,Total,Asia,Europe,Other†,,,BC2,,,,Canada,,,,BC2,,,,Canada,,,,,Vancouver,,,,,Victoria,,BC Ferries,,,Vancouver,,,,,Victoria,,BC Ferries,,,,Air transport5,Accom-modation,Food & beverage services,"Arts, entertain-ment & recreation",,Occupancy Rate3 (%),Room Rate ($),Room Revenue ($)4,,Traveller accom-modation,Restaurant meals5,,Air transport5,Accom-modation,Food & beverage services,"Arts, entertain-ment & recreation",,Occupancy Rate3 ,Room Rate ,Room Revenue ($)4,,Traveller accom-modation,Restaurant meals5
,Annual data,,,,,,,,,,,Annual percent changes,,,,,,,,,,,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,,Total,Domestic,Trans-border,Other Int'l.,,Total,,Vehicles,Passengers,,Total,Domestic,Trans-border,Other Int'l.,,Total,,Vehicles,Passengers,,,Annual data,,,,,,,,,,,,Annual percent changes,,,,,,,,,,
Feb,691852,,572604,278682,293922,,119248,63409,39258,18158,,3.889325191,,3.233832191,4.252676627,2.286038427,,7.15550164,2.914969244,3.870882392,-3.450842771,,Jan '00,492174,63583.49152,429597.5882,,2889977,230123,2659854,,1.101451895,-0.558386181,0.915476661,,0.298398788,-0.970827829,0.409739524,,Jan '00,1270.083393,675.0896287,327.6268695,272.6659571,,91.41978736,,639.4335022,1730.502697,,-0.417032698,2.285095157,-0.366332892,-1.666987925,,0.107193596,,-3.848628618,-3.292612199,,Feb,14681,28043.38172,113582.3916,26609.02603,,x,x,x,,109.9470283,92.9,,2.008060033,1.520749258,-0.978763412,1.729468367,,x,x,x,,1.889827227,0
Mar,712180,,588057,281438,306619,,124123,65043,40752,18406,,2.938200656,,2.698723725,0.9889408,4.319853567,,4.088118878,2.576921257,3.805593764,1.365789184,,Feb,491310,63939.57747,426377.4702,,2890486,229892,2660594,,-0.175547672,0.560028932,-0.749566134,,0.017612597,-0.100381101,0.027821076,,Feb,1347.104835,681.4917794,348.3706816,302.0531485,,94.62095299,,660.0956186,1761.144047,,6.064282295,0.948340844,6.331535646,10.77772661,,3.501611328,,3.231315906,1.770661772,,Mar,14782,28010.51201,114368.0924,26307.21271,,x,x,x,,109.759465,93.1,,0.687964035,-0.117210242,0.691745245,-1.134251662,,x,x,x,,-0.170594265,0.215285253
Apr,723308,,594474,285933,308541,,128834,65267,42474,19657,,1.562526328,,1.091220749,1.597154613,0.626836563,,3.795428728,0.344387559,4.225559482,6.796696729,,Mar,500231,64709.1645,438416.0867,,2947948,234182,2713766,,1.815757872,1.203616078,2.823464497,,1.987970189,1.866093644,1.998501087,,Mar,1330.856912,680.8905129,346.3766567,294.4644418,,93.5210845,,662.5729888,1775.474002,,-1.206136509,-0.088227997,-0.572385966,-2.512374643,,-1.162394222,,0.375304737,0.813673109,,Apr,15354,27742.19941,115779.1513,26086.60448,,x,x,x,,111.9243398,93.2,,3.8695711,-0.957899673,1.233787264,-0.838584575,,x,x,x,,1.972380986,0.107411386
May,725032,,598617,291334,307283,,126415,64282,42242,17553,,0.238349362,,0.69691862,1.888904044,-0.407725391,,-1.877609948,-1.509185346,-0.546216509,-10.70356616,,Apr,497806,63409.67449,433411.4673,,2926183,230694,2695491,,-0.484776033,-2.008200879,-1.141522762,,-0.738310174,-1.489439837,-0.673418416,,Apr,1357.315918,707.9266376,350.6306925,310.4498296,,96.18590961,,663.5687241,1819.094084,,1.988117978,3.970700759,1.228153135,5.428630928,,2.849437774,,0.150283121,2.456813334,,May,14803,27399.4526,117508.0983,25869.04493,,x,x,x,,112.4526834,93.6,,-3.588641396,-1.235470909,1.493314634,-0.833989529,,x,x,x,,0.472054276,0.429184549
Jun,706074,,576278,282891,293387,,129796,65826,41961,18131,,-2.614781141,,-3.731768393,-2.898048288,-4.522215677,,2.674524384,2.401916555,-0.665214715,3.292884407,,May,504857,64145.77914,438387.6034,,2968493,237908,2730585,,1.41641523,1.160871202,1.148132084,,1.445910936,3.127086097,1.301952038,,May,1332.291634,686.2586433,341.7111953,307.8801492,,95.17876346,,653.4344848,1762.188945,,-1.843659468,-3.060768325,-2.543843808,-0.827728083,,-1.047082832,,-1.527232824,-3.12821308,,Jun,13970,27839.71204,116704.2438,25590.74326,,x,x,x,,111.7465549,93.9,,-5.627237722,1.606818384,-0.684084346,-1.075809602,,x,x,x,,-0.627933926,0.320512821
Jul,707791,,580184,287083,293101,,127607,63420,41333,17535,,0.243175644,,0.677797868,1.48184283,-0.097482165,,-1.68649265,-3.655090694,-1.496627821,-3.28718769,,Jun,505627,65624.98026,438568.8652,,2989671,239388,2750282,,0.152518436,2.305999146,0.041347385,,0.713425971,0.622089211,0.721347257,,Jun,1351.168124,695.1010912,340.2891291,310.7609325,,94.27408648,,647.1377971,1750.331724,,1.416843698,1.288500769,-0.41616027,0.935683372,,-0.95050298,,-0.963629536,-0.672868902,,Jul,14336,27944.19308,117616.1696,25562.12889,,x,x,x,,113.2597937,94.1,,2.619899785,0.375294972,0.781398982,-0.111815315,,x,x,x,,1.354170497,0.212992545
Aug,693959,,576668,283706,292962,,117291,54434,40828,16407,,-1.954249206,,-0.606014644,-1.176314864,-0.047423926,,-8.084196008,-14.16903185,-1.221784047,-6.432848589,,Jul,517714,66879.93889,448649.1599,,3038342,239557,2798785,,2.390497343,1.912318485,2.298451976,,1.627971773,0.070596688,1.763564609,,Jul,1336.732344,701.6715779,333.2426763,305.5906936,,92.63492832,,660.3465994,1788.930682,,-1.068392613,0.945256279,-2.070725219,-1.663735155,,-1.738715506,,2.041111242,2.20523673,,Aug,14461,27956.88101,117473.843,25391.6195,,x,x,x,,112.9423462,94,,0.871930804,0.04540452,-0.121009362,-0.667039058,,x,x,x,,-0.280282648,-0.106269926
Sep,714072,,588160,282757,305403,,125913,63462,43566,17260,,2.898298026,,1.992827762,-0.334501209,4.246625842,,7.350947643,16.58522247,6.706182032,5.199000427,,Aug,508309,68127.51251,438540.1244,,3009830,240675,2769156,,-1.816640075,1.865392876,-2.253216198,,-0.938406539,0.466694774,-1.058637945,,Aug,1320.610589,693.8427501,324.9253608,296.4786222,,92.25076883,,658.0236786,1773.486506,,-1.206057089,-1.11573962,-2.495873451,-2.981789583,,-0.414702633,,-0.351772961,-0.863318827,,Sep,14581,28051.14587,118262.5137,25632.0464,,x,x,x,,114.7260313,94,,0.829818132,0.337179447,0.671358528,0.946875005,,x,x,x,,1.57928819,0
Oct,709744,,588899,288566,300333,,120845,62516,44882,17618,,-0.606101346,,0.125646083,2.054414214,-1.660101571,,-4.02500139,-1.490655826,3.020704219,2.074159907,,Sep,517596,68737.12424,451263.564,,3091592,240954,2850638,,1.827038278,0.894809905,2.901317087,,2.716498938,0.115923964,2.942485003,,Sep,1356.799546,711.4525459,340.9430201,308.8624078,,95.28765985,,660.901679,1789.649515,,2.740320068,2.538009616,4.929642688,4.176957346,,3.291995349,,0.437370341,0.911369155,,Oct,14642,28523.29874,119263.9676,27297.38739,,x,x,x,,115.5119599,94.3,,0.418352651,1.68318568,0.846805873,6.497105052,,x,x,x,,0.685048135,0.319148936
Nov,737245,,613411,294281,319130,,123834,65216,41735,19662,,3.874777385,,4.162343628,1.980482801,6.258719488,,2.47341636,4.318894363,-7.01171962,11.60177092,,Oct,520296,67955.50778,452835.082,,3081968,239376,2842592,,0.521642362,-1.137109625,0.348248388,,-0.311295928,-0.654896785,-0.282252605,,Oct,1332.02204,708.1807129,327.4366281,306.3570654,,96.54091587,,662.1388426,1780.802071,,-1.826172906,-0.459880694,-3.961480694,-0.811151601,,1.315234333,,0.187193285,-0.494367405,,Nov,15289,29469.89557,117370.937,28683.14641,,x,x,x,,113.329374,94.4,,4.418795247,3.318679372,-1.58726116,5.076526205,,x,x,x,,-1.889489109,0.106044539
Dec,694517,,573942,283151,290791,,120576,64436,41130,19691,,-5.795631032,,-6.434348259,-3.782099422,-8.880080218,,-2.630941422,-1.196025515,-1.449622619,0.147492625,,Nov,520897,69042.3599,453509.963,,3037257,240341,2796916,,0.115511171,1.599358393,0.149034594,,-1.450728885,0.403131475,-1.606843332,,Nov,1362.820236,686.5246975,345.1696023,322.2497769,,97.61302525,,665.2189202,1803.207102,,2.312138618,-3.057978713,5.415696536,5.187643213,,1.11052332,,0.465170967,1.258142677,,Dec,16260,29458.02737,117389.5087,28291.38506,,x,x,x,,113.6926655,94.9,,6.350971287,-0.040272284,0.015823093,-1.36582418,,x,x,x,,0.320562522,0.529661017
Jan '01,732625,,613221,301188,312033,,119405,63466,40044,18863,,5.48697872,,6.843722885,6.370099346,7.304902834,,-0.971171709,-1.505369669,-2.640408461,-4.204966736,,Dec,517601,67916.8893,450789.0257,,3018212,238962,2779251,,-0.632754652,-1.630116066,-0.599972981,,-0.627046048,-0.573768104,-0.631588507,,Dec,1334.734428,677.5474225,347.5804879,314.4369753,,99.67211746,,654.1271647,1745.188624,,-2.060859329,-1.307640506,0.698464065,-2.424455239,,2.109444103,,-1.667384257,-3.217516059,,Jan '01,15259,31257.67032,116268.1625,29680.20811,,60.79189746,117.6244545,x,,114.2971122,95.2,,-6.156211562,6.109176714,-0.955235399,4.908996322,,x,x,x,,0.531649701,0.316122234
Feb,738680,,616302,298497,317805,,122378,65311,38083,20063,,0.826480123,,0.502428977,-0.893461891,1.849804348,,2.489845484,2.907068352,-4.897113176,6.361660393,,Jan '01,527135,68646.1811,458217.5673,,3094841,246501,2848339,,1.841959347,1.073800368,1.647897603,,2.538887262,3.154894921,2.485849605,,Jan '01,1369.020576,691.9222682,351.8816955,326.4222475,,101.5745632,,687.902175,1843.411694,,2.56876181,2.121599945,1.237470966,3.811661211,,1.908704097,,5.163370696,5.628220848,,Feb,16599,31090.78258,119299.2576,28846.23935,,60.06015429,116.6143881,x,,113.4781169,95.6,,8.781702602,-0.533909713,2.606986289,-2.809848108,,-0.731743162,-0.858721407,x,,-0.716549417,0.420168067
Mar,759707,,625895,306154,319741,,133812,70767,41944,20371,,2.846564141,,1.556542085,2.56518491,0.609178584,,9.343182598,8.35387607,10.13838196,1.535164233,,Feb,526586,69285.70418,456139.5883,,3102833,246816,2856017,,-0.104147894,0.931622215,-0.453491766,,0.258236207,0.127788528,0.269560611,,Feb,1351.118182,699.0067213,355.0645442,303.5874411,,96.1920158,,663.7720416,1768.026335,,-1.307678946,1.023879908,0.904522384,-6.995481044,,-5.29910962,,-3.507785596,-4.089447815,,Mar,16790,31429.86244,117467.6006,28820.22084,,62.57374322,116.9922849,x,,114.4715341,95.6,,1.150671727,1.090612195,-1.535346546,-0.090197203,,2.513588923,0.324056736,x,,0.875426254,0
Apr,761174,,635186,309259,325927,,125988,63263,40483,20439,,0.193100761,,1.48443429,1.01419547,1.93469089,,-5.847009237,-10.60381251,-3.483215716,0.333807864,,Mar,528796,71021.21086,459641.047,,3100561,247985,2852575,,0.419684534,2.504855367,0.767628753,,-0.073223406,0.473632179,-0.12051749,,Mar,1327.301072,680.5129593,337.6433848,307.3964485,,99.29045374,,682.3508939,1820.766526,,-1.762770317,-2.6457202,-4.906476774,1.254665673,,3.221096802,,2.798980848,2.982998038,,Apr,17441,31061.00784,120007.0937,29059.1751,,60.88142641,116.5354299,x,,110.4789639,95.8,,3.877307921,-1.17358008,2.161866825,0.829120135,,-1.69231681,-0.390500129,x,,-3.487827983,0.209205021
May,742837,,623159,298923,324236,,119678,60080,39696,19282,,-2.409041822,,-1.893461128,-3.342182443,-0.518827836,,-5.0084135,-5.03137695,-1.944025887,-5.660746612,,Apr,528087,69886.84767,458616.0051,,3110443,246496,2863947,,-0.13407817,-1.597217467,-0.223009218,,0.318716516,-0.600439543,0.398657353,,Apr,1361.96883,695.4471958,353.3203285,318.0833954,,100.0898986,,674.7397813,1785.015006,,2.611898564,2.194555793,4.643047777,3.47660066,,0.805157831,,-1.115425019,-1.96354222,,May,17163,31624.80568,118626.4542,28778.54288,,59.82378568,116.148925,x,,108.2412319,96.2,,-1.593945301,1.815130554,-1.150464846,-0.965726732,,-1.057640732,-0.331662985,x,,-2.025482475,0.417536534
Jun,716500,,592781,292803,299978,,123718,65480,38259,18770,,-3.545461521,,-4.874839327,-2.047349986,-7.481587486,,3.375724862,8.988015979,-3.620012092,-2.655326211,,May,525197,69755.44179,455309.0094,,3096364,245511,2850853,,-0.547258312,-0.188026619,-0.721081604,,-0.452636489,-0.399600805,-0.457201198,,May,1369.129464,701.2465902,362.305946,307.035164,,99.69984178,,670.280437,1762.931175,,0.525756094,0.833908662,2.543192894,-3.47337572,,-0.38970648,,-0.66089839,-1.237179018,,Jun,16718,31805.45902,119614.9835,29682.1794,,59.79391369,116.578716,x,,107.0962498,96.4,,-2.592786809,0.571239355,0.833312684,3.139966222,,-0.029871985,0.370034369,x,,-1.057805828,0.207900208
Jul,719715,,596068,298696,297372,,123647,64202,39321,18285,,0.448709002,,0.554504952,2.012615991,-0.868730374,,-0.057388577,-1.95174099,2.775817455,-2.583910495,,Jun,529739,68237.94392,459418.8454,,3098851,243459,2855391,,0.864818344,-2.175454472,0.902647637,,0.080320014,-0.835807764,0.159180428,,Jun,1352.176101,688.1795515,360.2401607,310.9316895,,102.1085719,,671.8546205,1759.901682,,-1.238258584,-1.863401397,-0.570177023,1.269081175,,2.415981893,,0.234854466,-0.171844099,,Jul,16651,31406.06974,118231.5114,30489.55377,,60.05352226,117.26884,x,,105.7493333,96.9,,-0.400765642,-1.255725573,-1.156604353,2.720064308,,0.259608568,0.59198115,x,,-1.257669136,0.518672199
Aug,723244,,596351,292785,303566,,126893,64545,39811,19345,,0.490332979,,0.047477805,-1.978935105,2.082912984,,2.625215331,0.534251269,1.246153455,5.797101449,,Jul,535773,69035.78107,466447.6148,,3143972,245369,2898602,,1.139051495,1.169198704,1.529926227,,1.456055809,0.784526347,1.513312888,,Jul,1364.24815,676.9602414,365.9576796,311.524161,,104.2272429,,674.5327872,1762.30412,,0.892786757,-1.630288214,1.58714088,0.190547176,,2.074919842,,0.398622947,0.136509773,,Aug,16624,31399.07965,117663.4247,30898.56354,,60.08238395,116.3473188,x,,105.8294359,97.4,,-0.162152423,-0.022257135,-0.480486684,1.341475094,,0.028861689,-0.785819283,x,,0.07574761,0.515995872
Sep,598398,,490703,221908,268795,,107696,54814,36240,16510,,-17.26194756,,-17.71574123,-24.20786584,-11.4541813,,-15.12849409,-15.07630335,-8.969882696,-14.6549496,,Aug,533516,69727.99464,463742.4014,,3125433,245579,2879853,,-0.421260497,1.002688104,-0.579960833,,-0.589668101,0.085585384,-0.646829058,,Aug,1372.838073,671.7481262,374.9038351,309.6644833,,103.8014479,,674.0993564,1766.384289,,0.62964522,-0.769929291,2.44458746,-0.596961008,,-0.40852566,,-0.064256449,0.2315247,,Sep,16526,31589.62841,117902.4964,30552.36919,,57.01553688,114.743965,x,,104.0862291,97.5,,-0.589509143,0.606860976,0.203182641,-1.120422159,,-3.066847064,-1.37807544,x,,-1.647185238,0.102669405
Oct,564821,,464724,191468,273256,,100097,50189,37126,16377,,-5.611148433,,-5.294241119,-13.7173964,1.659629085,,-7.055972367,-8.437625424,2.444812362,-0.80557238,,Sep,520875,68514.56604,454175.5246,,3069397,243861,2825535,,-2.369375989,-1.740231606,-2.06297218,,-1.792903575,-0.699571217,-1.886137938,,Sep,1108.903136,552.7155449,269.403909,287.969497,,81.70180783,,666.9707364,1735.283087,,-19.22549658,-17.71982334,-28.14052998,-7.00596531,,-21.29030039,,-1.05750287,-1.760726816,,Oct,16347,31001.16372,116572.7246,29706.04451,,55.78498993,115.0295901,x,,101.2336985,98,,-1.083141716,-1.862841436,-1.127857234,-2.770078704,,-1.230546952,0.248923829,x,,-2.740545628,0.512820513
Nov,606179,,506411,214910,291501,,99769,47300,37320,15446,,7.322319815,,8.970270526,12.24329914,6.676889071,,-0.327682148,-5.756241407,0.522544847,-5.684801856,,Oct,531312,70546.70958,460995.4936,,3105487,250102,2855385,,2.003743701,2.966002214,1.501615263,,1.17580098,2.559244816,1.0564371,,Oct,1129.634892,591.4888302,281.8596562,265.4261994,,89.69419934,,672.6641143,1743.26277,,1.869573221,7.015052438,4.623447086,-7.828363025,,9.782392481,,0.853617359,0.459849057,,Nov,15926,30813.16386,117858.7018,29295.0276,,56.97191894,115.6780051,x,,102.1937555,98.1,,-2.575396097,-0.606428385,1.103154518,-1.383613746,,1.186929014,0.563694087,x,,0.948357129,0.102040816
Dec,648656,,533718,231103,302615,,114938,62354,37925,16244,,7.007336117,,5.392260437,7.534782002,3.812679888,,15.20412152,31.82663848,1.621114684,5.166386119,,Nov,538267,71435.35756,466500.4708,,3166941,254893,2912047,,1.3090237,1.259659003,1.194149889,,1.978884471,1.915618428,1.984390896,,Nov,1169.591024,604.381445,288.7695342,266.6179713,,89.47736436,,681.7092448,1772.20663,,3.537083689,2.17968863,2.451531391,0.449003122,,-0.241749165,,1.344672664,1.660326833,,Dec,15791,31051.30674,119023.589,29254.87571,,57.7667273,113.8780826,x,,101.9443389,98.3,,-0.847670476,0.772860845,0.98837599,-0.137060441,,0.794808352,-1.555976401,x,,-0.244062401,0.203873598
Jan '02,666055,,548936,237453,311483,,117119,65749,37596,14899,,2.682315434,,2.851318487,2.747692587,2.93045619,,1.897544763,5.444718863,-0.867501648,-8.2799803,,Dec,539615,70982.2616,468618.4322,,3194888,254664,2940223,,0.250433335,-0.634274091,0.454010545,,0.882460393,-0.08984162,0.967566801,,Dec,1200.840498,615.009526,299.0983261,293.035302,,90.34259257,,683.1238115,1789.506685,,2.671829158,1.758505518,3.576828822,9.908308354,,0.966979993,,0.20750293,0.976187246,,Jan '02,14559,30145.25109,119885.9843,28966.19871,,58.07439428,116.0397432,x,,102.4859085,99,,-7.801912482,-2.917930843,0.724558337,-0.98676542,,0.307666979,1.898223574,x,,0.531240425,0.712105799
Feb,669530,,553571,236285,317286,,115959,63557,36739,15865,,0.521728686,,0.844360727,-0.491886815,1.863023022,,-0.990445615,-3.33389101,-2.279497819,6.483656621,,Jan '02,538765,69417.74345,470092.2128,,3187431,247585,2939845,,-0.157519713,-2.204097342,0.314494811,,-0.233404113,-2.779741149,-0.012856168,,Jan '02,1213.82938,613.715046,308.4440017,289.6453372,,89.40616185,,678.1004001,1772.849518,,1.081649253,-0.210481292,3.124616485,-1.156845185,,-1.036532931,,-0.73535885,-0.930824524,,Feb,13979,29871.99384,121091.014,29334.84423,,59.83018221,118.0947004,x,,102.8994282,99.2,,-3.983790095,-0.906468626,1.005146471,1.272674845,,1.755787933,1.770908046,x,,0.403489334,0.202020202
Mar,660026,,542691,232591,310100,,117335,64766,35153,17830,,-1.419503234,,-1.965420876,-1.563366274,-2.26483362,,1.186626308,1.902229495,-4.316938403,12.38575481,,Feb,533895,69998.79023,463276.2436,,3178200,250038,2928163,,-0.903919148,0.837029198,-1.449921737,,-0.289606269,0.990770846,-0.397367888,,Feb,1220.512702,612.2591688,309.8689863,304.8083758,,89.17722917,,679.0309377,1766.636638,,0.55059811,-0.237223654,0.46199134,5.235036317,,-0.256059171,,0.137227123,-0.350445993,,Mar,13550,30424.81147,119997.7923,29267.95945,,58.34284412,121.359601,x,,101.4726484,99.4,,-3.068889048,1.850621805,-0.902809952,-0.228004547,,-1.487338093,2.764646221,x,,-1.38657694,0.201612903
Apr,659537,,544328,235669,308659,,115209,64487,33640,15297,,-0.07408799,,0.301644951,1.32335301,-0.46468881,,-1.811906081,-0.430781583,-4.304042329,-14.20639372,,Mar,530525,71428.62407,461083.5502,,3180055,249675,2930381,,-0.631210257,2.04265507,-0.473301503,,0.058366371,-0.145177933,0.075747149,,Mar,1221.574981,614.1407472,303.8568546,309.3735226,,92.76386293,,662.7419623,1717.062159,,0.087035502,0.307317312,-1.940217299,1.497710416,,4.021916575,,-2.398856159,-2.806150247,,Apr,13693,31146.83516,119111.9714,29610.80017,,59.51877273,117.5477487,x,,100.8881389,99.6,,1.055350554,2.373141038,-0.738197649,1.171385798,,1.175928612,-3.140956566,x,,-0.576026648,0.201207243
May,661774,,549922,234341,315581,,111851,63712,31914,15976,,0.339177332,,1.027689187,-0.5635022,2.242604298,,-2.914702844,-1.201792609,-5.130796671,4.438778846,,Apr,540717,70370.37866,470962.2588,,3208149,246319,2961831,,1.921115876,-1.481542483,2.142498604,,0.88344384,-1.344147392,1.073239282,,Apr,1243.483252,635.3032092,310.6179309,300.8226543,,93.59340948,,685.7340685,1786.79587,,1.793444649,3.445865152,2.225085997,-2.763930242,,0.894256152,,3.469239545,4.061222258,,May,14022,32122.09029,120099.8394,30108.89676,,58.8330567,117.4267246,x,,102.4400104,99.5,,2.402687505,3.13115322,0.829360817,1.682144953,,-0.685716031,-0.102957383,x,,1.538209992,-0.100401606
Jun,666005,,557634,233882,323752,,108371,60354,32460,15444,,0.639342132,,1.402380701,-0.195868414,2.589192632,,-3.111281973,-5.270592667,1.710847904,-3.329994992,,May,536150,72262.62227,466210.1477,,3202896,249519,2953378,,-0.844619274,2.688977437,-1.009021638,,-0.163739278,1.299128366,-0.285397783,,May,1239.019815,624.9356427,315.6951067,298.6072955,,94.42818064,,694.3116784,1787.979719,,-0.358946345,-1.631908406,1.634540474,-0.736433484,,0.891912327,,1.250865351,0.066255423,,Jun,14560,32226.23096,120540.1511,30830.72811,,60.19927871,120.7070038,x,,101.4463625,99.9,,3.836827842,0.324202637,0.366621362,2.397402203,,1.366222009,2.79346909,x,,-0.969980227,0.40201005
Jul,658384,,547772,226906,320866,,110613,62802,31198,16261,,-1.144285704,,-1.768543525,-2.982700678,-0.891423065,,2.068819149,4.056069192,-3.887861984,5.29008029,,Jun,542245,70072.08608,470628.0684,,3224404,243927,2980478,,1.136808729,-3.031354414,0.947624298,,0.671517277,-2.241111899,0.917593346,,Jun,1244.604829,618.8218479,338.3570657,297.3346538,,94.38594595,,695.03785,1802.707339,,0.450760705,-0.978307909,7.178432147,-0.426192432,,-0.04472679,,0.104588713,0.823701705,,Jul,14778,32911.23501,119933.5923,31193.82792,,60.21885599,118.5354384,x,,100.9231385,100.2,,1.497252747,2.125610206,-0.503200667,1.177720512,,0.01957728,-1.799038505,x,,-0.515764236,0.3003003
Aug,656492,,543987,229042,314945,,112505,63055,31601,16990,,-0.287370288,,-0.690980919,0.941358977,-1.845318607,,1.710468028,0.402853412,1.291749471,4.483119119,,Jul,541937,70805.06971,471318.5064,,3238524,248753,2989771,,-0.056800893,1.046042267,0.146705654,,0.437910386,1.978460769,0.311795625,,Jul,1256.509649,611.2535589,342.297383,290.2235501,,90.30587542,,694.3880419,1811.808846,,0.956514011,-1.223015811,1.164544119,-2.391616199,,-4.32275217,,-0.093492475,0.50487995,,Aug,14360,32722.05599,120002.9248,30187.51432,,60.52444349,118.4564873,x,,99.72298934,100.5,,-2.828528894,-0.574815941,0.057809119,-3.226002277,,0.305587499,-0.066605416,x,,-1.189171445,0.299401198
Sep,647678,,538290,231563,306727,,109388,62798,31833,15684,,-1.342590618,,-1.047267674,1.100671493,-2.609344489,,-2.770543531,-0.407580684,0.734153982,-7.686874632,,Aug,543176,71914.90844,470818.7638,,3213960,250325,2963636,,0.22862436,1.56745658,-0.106030745,,-0.758493684,0.631952177,-0.874147217,,Aug,1261.502238,623.3577912,333.9391967,291.5584702,,93.89048433,,694.7408805,1823.53415,,0.397337883,1.980230986,-2.441790912,0.459962723,,3.969408295,,0.050812887,0.64716006,,Sep,15111,31900.77416,118870.4595,30771.32661,,59.62980421,117.7092497,x,,97.74377463,100.6,,5.229805014,-2.509872312,-0.94369813,1.933952841,,-0.894639275,-0.630811952,x,,-1.984712574,0.099502488
Oct,683199,,559880,230190,329690,,123318,71766,35521,18275,,5.484361056,,4.010849171,-0.592927195,7.486461903,,12.73448642,14.28070958,11.58546163,16.5200204,,Sep,541757,72533.52316,469750.9494,,3224894,253183,2971711,,-0.261241292,0.860203732,-0.226799474,,0.340203363,1.141715769,0.272469359,,Sep,1247.220989,615.8746029,328.6782984,296.2912239,,91.98572593,,689.2090603,1776.19575,,-1.132082672,-1.200464398,-1.575406021,1.623260581,,-2.02870228,,-0.796242217,-2.595970027,,Oct,15733,32017.55418,119404.2285,30253.35441,,60.4543838,117.1871881,x,,95.73486319,100.5,,4.116206737,0.366072686,0.449034205,-1.683294984,,0.824579591,-0.443517898,x,,-2.055283258,-0.099403579
Nov,675542,,555620,241945,313675,,119922,61438,38241,18148,,-1.12075691,,-0.760877331,5.106651027,-4.857593497,,-2.753855885,-14.3912159,7.657442077,-0.69493844,,Oct,546180,72797.2831,473279.1643,,3237051,247940,2989111,,0.816417693,0.36363866,0.751082035,,0.376973631,-2.07083414,0.58552127,,Oct,1267.734805,630.0390991,328.5203401,312.7131719,,90.25670777,,695.3773892,1817.149113,,1.644761876,2.29989938,-0.048058635,5.542502325,,-1.879659205,,0.894986618,2.305678497,,Nov,16058,32100.08678,120318.8637,29363.03759,,57.73482579,116.2949173,x,,97.46092252,100.7,,2.065721731,0.257772974,0.765999006,-2.942869781,,-2.719558014,-0.761406418,x,,1.802957947,0.199004975
Dec,666596,,553255,238182,315073,,113342,59482,35946,18453,,-1.324269994,,-0.425650625,-1.555312158,0.445684227,,-5.486899818,-3.183697386,-6.001412097,1.680625964,,Nov,544425,71993.26875,470747.8955,,3226505,247763,2978742,,-0.321322641,-1.104456529,-0.534836322,,-0.325790357,-0.071388239,-0.346892437,,Nov,1219.62179,603.3384674,310.2521019,308.929112,,90.49991685,,696.7348671,1828.77239,,-3.795195518,-4.237932491,-5.560763219,-1.210073731,,0.269463723,,0.195214559,0.639643546,,Dec,15671,31876.08106,120742.1787,30218.51172,,58.13915752,119.0711974,x,,96.78181486,101,,-2.4100137,-0.697835247,0.351827642,2.913438794,,0.404331733,2.387275509,x,,-0.696799943,0.297914598
Jan '03,688483,,572412,242889,329523,,116071,59254,36123,19968,,3.28339804,,3.462598621,1.976219865,4.586238745,,2.407757054,-0.383309236,0.492405275,8.210047147,,Dec,552850,73291.70207,477566.2391,,3238106,248089,2990018,,1.547504248,1.803548223,1.448406605,,0.359553139,0.131577354,0.378549065,,Dec,1241.937569,619.3178187,324.678734,299.6656327,,91.50649969,,706.5928641,1848.508509,,1.829729451,2.648488727,4.64997078,-2.998577637,,1.112247253,,1.414884976,1.079200376,,Jan '03,15580,32138.73521,120991.5711,30463.34674,,58.42137561,118.138466,x,,96.10569379,101.2,,-0.580690447,0.823985057,0.206549508,0.810215364,,0.282218086,-0.783339185,x,,-0.698603423,0.198019802
Feb,665241,,554020,229989,324031,,111221,56514,36947,17893,,-3.375827726,,-3.213070306,-5.311068019,-1.666651493,,-4.178476967,-4.624160394,2.281095147,-10.3916266,,Jan '03,539332,72527.2034,468125.3146,,3159711,245959,2913753,,-2.44514787,-1.043090345,-1.976882735,,-2.421014013,-0.858562854,-2.550653541,,Jan '03,1240.304185,606.387011,321.8449084,304.2968264,,92.26414586,,705.8960955,1850.24618,,-0.131519001,-2.087911448,-0.872809098,1.545453737,,0.82796979,,-0.098609627,0.094003983,,Feb,15665,31737.72805,121040.1252,30405.28401,,59.25028362,118.2590147,x,,95.10495631,101.3,,0.545571245,-1.247737823,0.040130141,-0.190598653,,0.828908017,0.102040172,x,,-1.04128844,0.098814229
